Title,Publish year,Time,Movie type,Rating,Vote count
1. The Shawshank Redemption,1994,2h 22m,R,9.3,(2.9M)
2. The Godfather,1972,2h 55m,R,9.2,(2.1M)
3. The Dark Knight,2008,2h 32m,PG-13,9.0,(2.9M)
4. The Godfather Part II,1974,3h 22m,R,9.0,(1.4M)
5. 12 Angry Men,1957,1h 36m,Approved,9.0,(887K)
6. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,(2M)
7. Schindler's List,1993,3h 15m,R,9.0,(1.5M)
8. Pulp Fiction,1994,2h 34m,R,8.9,(2.3M)
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9,(2M)
"10. The Good, the Bad and the Ugly",1966,2h 58m,R,8.8,(826K)
11. Forrest Gump,1994,2h 22m,PG-13,8.8,(2.3M)
12. The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,(1.8M)
13. Fight Club,1999,2h 19m,R,8.8,(2.4M)
14. Inception,2010,2h 28m,PG-13,8.8,(2.6M)
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,(1.4M)
16. The Matrix,1999,2h 16m,R,8.7,(2.1M)
17. Goodfellas,1990,2h 25m,R,8.7,(1.3M)
18. One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7,(1.1M)
19. Interstellar,2014,2h 49m,PG-13,8.7,(2.2M)
20. Se7en,1995,2h 7m,R,8.6,(1.8M)
21. It's a Wonderful Life,1946,2h 10m,PG,8.6,(507K)
22. Seven Samurai,1954,3h 27m,Not Rated,8.6,(373K)
23. The Silence of the Lambs,1991,1h 58m,R,8.6,(1.6M)
24. Saving Private Ryan,1998,2h 49m,R,8.6,(1.5M)
25. City of God,2002,2h 10m,R,8.6,(815K)
26. Life Is Beautiful,1997,1h 56m,PG-13,8.6,(756K)
27. The Green Mile,1999,3h 9m,R,8.6,(1.4M)
28. Terminator 2: Judgment Day,1991,2h 17m,R,8.6,(1.2M)
29. Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6,(1.5M)
30. Back to the Future,1985,1h 56m,PG,8.5,(1.3M)
31. Spirited Away,2001,2h 4m,PG,8.6,(874K)
32. The Pianist,2002,2h 30m,R,8.5,(934K)
33. Parasite,2019,2h 12m,R,8.5,(998K)
34. Psycho,1960,1h 49m,R,8.5,(732K)
35. Gladiator,2000,2h 35m,R,8.5,(1.7M)
36. The Lion King,1994,1h 28m,G,8.5,(1.2M)
37. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6,(407K)
38. The Departed,2006,2h 31m,R,8.5,(1.4M)
39. Whiplash,2014,1h 46m,R,8.5,(1M)
40. American History X,1998,1h 59m,R,8.5,(1.2M)
41. Grave of the Fireflies,1988,1h 28m,Not Rated,8.5,(323K)
42. Léon: The Professional,1994,1h 50m,R,8.5,(1.3M)
43. The Prestige,2006,2h 10m,PG-13,8.5,(1.5M)
44. Harakiri,1962,2h 13m,Not Rated,8.6,(72K)
45. The Usual Suspects,1995,1h 46m,R,8.5,(1.2M)
46. Casablanca,1942,1h 42m,PG,8.5,(615K)
47. Dune: Part Two,2024,2h 46m,PG-13,8.5,(527K)
48. The Intouchables,2011,1h 52m,R,8.5,(948K)
49. Cinema Paradiso,1988,2h 54m,PG,8.5,(289K)
50. Modern Times,1936,1h 27m,G,8.5,(264K)
51. Alien,1979,1h 57m,R,8.5,(984K)
52. Rear Window,1954,1h 52m,PG,8.5,(532K)
53. Once Upon a Time in the West,1968,2h 46m,PG-13,8.5,(354K)
54. Django Unchained,2012,2h 45m,R,8.5,(1.7M)
55. City Lights,1931,1h 27m,G,8.5,(199K)
56. Apocalypse Now,1979,2h 27m,R,8.4,(722K)
57. Memento,2000,1h 53m,R,8.4,(1.3M)
58. WALL·E,2008,1h 38m,G,8.4,(1.2M)
59. Raiders of the Lost Ark,1981,1h 55m,PG,8.4,(1.1M)
60. 12th Fail,2023,2h 27m,,8.8,(131K)
61. The Lives of Others,2006,2h 17m,R,8.4,(416K)
62. Sunset Boulevard,1950,1h 50m,Approved,8.4,(241K)
63. Avengers: Infinity War,2018,2h 29m,PG-13,8.4,(1.2M)
64. Paths of Glory,1957,1h 28m,Approved,8.4,(218K)
65. Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4,(695K)
66. Witness for the Prosecution,1957,1h 56m,Approved,8.4,(141K)
67. The Shining,1980,2h 26m,R,8.4,(1.1M)
68. The Great Dictator,1940,2h 5m,G,8.4,(241K)
69. Aliens,1986,2h 17m,R,8.4,(787K)
70. Inglourious Basterds,2009,2h 33m,R,8.4,(1.6M)
71. The Dark Knight Rises,2012,2h 44m,PG-13,8.4,(1.9M)
72. Coco,2017,1h 45m,PG,8.4,(615K)
73. Amadeus,1984,2h 40m,PG,8.4,(436K)
74. Toy Story,1995,1h 21m,G,8.3,(1.1M)
75. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3,(526K)
76. Oldboy,2003,2h,R,8.3,(652K)
77. American Beauty,1999,2h 2m,R,8.3,(1.2M)
78. Avengers: Endgame,2019,3h 1m,PG-13,8.4,(1.3M)
79. Das Boot,1981,2h 29m,,8.4,(268K)
80. Braveheart,1995,2h 58m,R,8.3,(1.1M)
81. Good Will Hunting,1997,2h 6m,R,8.3,(1.1M)
82. Princess Mononoke,1997,2h 13m,PG-13,8.3,(444K)
83. Your Name.,2016,1h 46m,,8.4,(335K)
84. Joker,2019,2h 2m,R,8.4,(1.5M)
85. High and Low,1963,2h 23m,Not Rated,8.4,(56K)
86. 3 Idiots,2009,2h 50m,PG-13,8.4,(444K)
87. Once Upon a Time in America,1984,3h 49m,R,8.3,(384K)
88. Singin' in the Rain,1952,1h 43m,G,8.3,(265K)
89. Capernaum,2018,2h 6m,R,8.4,(110K)
90. Come and See,1985,2h 22m,Not Rated,8.4,(102K)
91. Requiem for a Dream,2000,1h 42m,NC-17,8.3,(915K)
92. Toy Story 3,2010,1h 43m,G,8.3,(908K)
93. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,(1.1M)
94. The Hunt,2012,1h 55m,R,8.3,(373K)
95. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,(1.1M)
96. 2001: A Space Odyssey,1968,2h 29m,G,8.3,(733K)
97. Ikiru,1952,2h 23m,Not Rated,8.3,(90K)
98. Reservoir Dogs,1992,1h 39m,R,8.3,(1.1M)
99. Lawrence of Arabia,1962,3h 47m,PG,8.3,(320K)
100. The Apartment,1960,2h 5m,Approved,8.3,(201K)
101. Incendies,2010,2h 11m,R,8.3,(211K)
102. Scarface,1983,2h 50m,R,8.3,(936K)
103. North by Northwest,1959,2h 16m,Approved,8.3,(351K)
104. Double Indemnity,1944,1h 47m,Approved,8.3,(170K)
105. Citizen Kane,1941,1h 59m,PG,8.3,(472K)
106. Oppenheimer,2023,3h,R,8.3,(803K)
107. M,1931,1h 39m,Passed,8.3,(171K)
108. Vertigo,1958,2h 8m,PG,8.3,(435K)
109. Heat,1995,2h 50m,R,8.3,(733K)
110. Full Metal Jacket,1987,1h 56m,R,8.2,(804K)
111. Amélie,2001,2h 2m,R,8.3,(804K)
112. Up,2009,1h 36m,PG,8.3,(1.1M)
113. A Clockwork Orange,1971,2h 16m,R,8.2,(894K)
114. To Kill a Mockingbird,1962,2h 9m,Approved,8.3,(337K)
115. A Separation,2011,2h 3m,PG-13,8.3,(262K)
116. The Sting,1973,2h 9m,PG,8.3,(284K)
117. Die Hard,1988,2h 12m,R,8.2,(960K)
118. Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,(822K)
119. Like Stars on Earth,2007,2h 42m,PG,8.3,(211K)
120. Metropolis,1927,2h 33m,Not Rated,8.3,(189K)
121. Snatch,2000,1h 42m,R,8.2,(925K)
122. 1917,2019,1h 59m,R,8.2,(698K)
123. L.A. Confidential,1997,2h 18m,R,8.2,(627K)
124. Bicycle Thieves,1948,1h 29m,Not Rated,8.3,(178K)
125. Hamilton,2020,2h 40m,PG-13,8.3,(119K)
126. Downfall,2004,2h 36m,R,8.2,(380K)
127. Taxi Driver,1976,1h 54m,R,8.2,(943K)
128. Dangal,2016,2h 41m,Not Rated,8.3,(217K)
129. Batman Begins,2005,2h 20m,PG-13,8.2,(1.6M)
130. The Wolf of Wall Street,2013,3h,R,8.2,(1.6M)
131. For a Few Dollars More,1965,2h 12m,R,8.2,(280K)
132. Green Book,2018,2h 10m,PG-13,8.2,(596K)
133. Some Like It Hot,1959,2h 1m,Approved,8.2,(288K)
134. The Truman Show,1998,1h 43m,PG,8.2,(1.2M)
135. Judgment at Nuremberg,1961,2h 59m,Approved,8.3,(87K)
136. The Kid,1921,1h 8m,Passed,8.2,(137K)
137. The Father,2020,1h 37m,PG-13,8.2,(201K)
138. All About Eve,1950,2h 18m,Approved,8.2,(141K)
139. Shutter Island,2010,2h 18m,R,8.2,(1.5M)
140. There Will Be Blood,2007,2h 38m,R,8.2,(652K)
141. Jurassic Park,1993,2h 7m,PG-13,8.2,(1.1M)
142. Casino,1995,2h 58m,R,8.2,(575K)
143. Top Gun: Maverick,2022,2h 10m,PG-13,8.2,(734K)
144. The Sixth Sense,1999,1h 47m,PG-13,8.2,(1.1M)
145. Ran,1985,2h 40m,R,8.2,(139K)
146. Pan's Labyrinth,2006,1h 58m,R,8.2,(712K)
147. Unforgiven,1992,2h 10m,R,8.2,(443K)
148. No Country for Old Men,2007,2h 2m,R,8.2,(1.1M)
149. The Thing,1982,1h 49m,R,8.2,(479K)
150. A Beautiful Mind,2001,2h 15m,PG-13,8.2,(1M)
151. Kill Bill: Vol. 1,2003,1h 51m,R,8.2,(1.2M)
152. The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2,(134K)
153. Yojimbo,1961,1h 50m,Not Rated,8.2,(134K)
154. The Great Escape,1963,2h 52m,Approved,8.2,(263K)
155. Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,(577K)
156. Finding Nemo,2003,1h 40m,G,8.2,(1.1M)
157. Prisoners,2013,2h 33m,R,8.2,(834K)
158. Howl's Moving Castle,2004,1h 59m,PG,8.2,(464K)
159. The Elephant Man,1980,2h 4m,PG,8.2,(263K)
160. Rashomon,1950,1h 28m,Not Rated,8.2,(184K)
161. Dial M for Murder,1954,1h 45m,PG,8.2,(192K)
162. Chinatown,1974,2h 10m,R,8.1,(356K)
163. Gone with the Wind,1939,3h 58m,G,8.2,(339K)
164. The Secret in Their Eyes,2009,2h 9m,R,8.2,(226K)
"165. Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1,(624K)
166. Inside Out,2015,1h 35m,PG,8.1,(833K)
167. V for Vendetta,2005,2h 12m,R,8.1,(1.2M)
"168. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1,(566K)
169. Raging Bull,1980,2h 9m,R,8.1,(386K)
170. Trainspotting,1996,1h 33m,R,8.1,(736K)
171. The Bridge on the River Kwai,1957,2h 41m,PG,8.1,(237K)
172. Klaus,2019,1h 36m,PG,8.2,(195K)
173. Catch Me If You Can,2002,2h 21m,PG-13,8.1,(1.1M)
174. Fargo,1996,1h 38m,R,8.1,(738K)
175. Warrior,2011,2h 20m,PG-13,8.1,(504K)
176. Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,(909K)
177. Gran Torino,2008,1h 56m,R,8.1,(825K)
178. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,(966K)
179. Million Dollar Baby,2004,2h 12m,PG-13,8.1,(731K)
180. My Neighbor Totoro,1988,1h 26m,G,8.1,(392K)
181. Mad Max: Fury Road,2015,2h,R,8.1,(1.1M)
182. Children of Heaven,1997,1h 29m,PG,8.2,(83K)
183. Ben-Hur,1959,3h 32m,G,8.1,(257K)
184. 12 Years a Slave,2013,2h 14m,R,8.1,(751K)
185. Barry Lyndon,1975,3h 5m,PG,8.1,(187K)
